iter,best,elapsed,group_1,group_2,group_3,group_4
118,0.11937172687353081,,,,,
119,0.11937172687353081,,,,,
120,0.11937172687353081,,,,,
121,0.11937172687353081,,,,,
122,0.11937172687353081,,,,,
123,0.11937172687353081,,,,,
124,0.11937172687353081,,,,,
125,0.11937172687353081,,,,,
126,0.11937172687353081,,,,,
127,0.11937172687353081,,,,,
128,0.11937172687353081,,,,,
129,0.11936182597619482,,,,,
130,0.11936182597619482,,,,,
131,0.11936182597619482,,,,,
132,0.11936182597619482,,,,,
133,0.11936182597619482,,,,,
134,0.11936182597619482,,,,,
135,0.11936182597619482,,,,,
136,0.11936182597619482,,,,,
137,0.11936182597619482,,,,,
138,0.11936182597619482,,,,,
139,0.11936182597619481,,,,,
140,0.1193020015384347,,,,,
141,0.1193020015384347,,,,,
142,0.1193020015384347,,,,,
143,0.1193020015384347,,,,,
144,0.1193020015384347,,,,,
145,0.1193020015384347,,,,,
146,0.1193020015384347,,,,,
147,0.1193020015384347,,,,,
148,0.11929023714913548,,,,,
149,0.11929023714913545,,,,,
150,0.11929023714913545,,,,,
151,0.11929023714913545,,,,,
152,0.11929023714913545,,,,,
153,0.11929023714913542,,,,,
154,0.11929023714913542,,,,,
155,0.11929023714913542,,,,,
156,0.11929023714913542,,,,,
157,0.11929023714913542,,,,,
158,0.11929023714913542,,,,,
159,0.11929023714913542,,,,,
160,0.11929023714913542,,,,,
161,0.11929023714913542,,,,,
162,0.11929023714913542,,,,,
163,0.11929023714913542,,,,,
164,0.11929023714913542,,,,,
165,0.11929023714913542,,,,,
166,0.11929023714913542,,,,,
167,0.11929023714913542,,,,,
168,0.11929023714913542,,,,,
169,0.11929023714913542,,,,,
170,0.11929023714913542,,,,,
171,0.11929023714913542,,,,,
172,0.11929023714913542,,,,,
173,0.11929023714913542,,,,,
174,0.11929023714913542,,,,,
175,0.11929023714913542,,,,,
