instance_stem,num_subjects,num_groups,num_p,population_size,generations,crossover_rate,mutation_rate,tournament_size,elitism,seed,best_fitness,elapsed_seconds,results_file,assignment_file,arm_type,instance_id,h_file,m_file
H_20_obs_5_id_1,20,2,5,100,200,1.0,0.14,2,3,123,0.8495998335802253,0.783889457999976,results/twoarm/GA_results_H_20_obs_5_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_5_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_20_obs_5_id_1.csv,moments_matrices/M_l_2_2.csv
H_20_obs_5_id_2,20,2,5,100,200,1.0,0.14,2,3,123,0.7019879812586169,0.7968067499987228,results/twoarm/GA_results_H_20_obs_5_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_5_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_20_obs_5_id_2.csv,moments_matrices/M_l_2_2.csv
H_20_obs_5_id_3,20,2,5,100,200,1.0,0.14,2,3,123,0.648869244685141,0.7821192079991306,results/twoarm/GA_results_H_20_obs_5_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_5_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_20_obs_5_id_3.csv,moments_matrices/M_l_2_2.csv
H_20_obs_5_id_4,20,2,5,100,200,1.0,0.14,2,3,123,0.796334318872658,0.7836174170006416,results/twoarm/GA_results_H_20_obs_5_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_5_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_20_obs_5_id_4.csv,moments_matrices/M_l_2_2.csv
H_20_obs_5_id_5,20,2,5,100,200,1.0,0.14,2,3,123,0.9436904256778966,0.7940080829994258,results/twoarm/GA_results_H_20_obs_5_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_20_obs_5_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_20_obs_5_id_5.csv,moments_matrices/M_l_2_2.csv
H_30_obs_3_id_1,30,2,3,100,200,1.0,0.14,2,3,123,0.2442248058418933,0.8702736249997542,results/twoarm/GA_results_H_30_obs_3_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_3_id_1_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,1,covariate_matrices_twoarm/H_30_obs_3_id_1.csv,moments_matrices/M_l_2_0.csv
H_30_obs_3_id_2,30,2,3,100,200,1.0,0.14,2,3,123,0.22992323024990868,0.8846822499999689,results/twoarm/GA_results_H_30_obs_3_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_3_id_2_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,2,covariate_matrices_twoarm/H_30_obs_3_id_2.csv,moments_matrices/M_l_2_0.csv
H_30_obs_3_id_3,30,2,3,100,200,1.0,0.14,2,3,123,0.21304866642128273,0.8849585829993885,results/twoarm/GA_results_H_30_obs_3_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_3_id_3_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,3,covariate_matrices_twoarm/H_30_obs_3_id_3.csv,moments_matrices/M_l_2_0.csv
H_30_obs_3_id_4,30,2,3,100,200,1.0,0.14,2,3,123,0.23685078120829484,0.8781525000013062,results/twoarm/GA_results_H_30_obs_3_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_3_id_4_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,4,covariate_matrices_twoarm/H_30_obs_3_id_4.csv,moments_matrices/M_l_2_0.csv
H_30_obs_3_id_5,30,2,3,100,200,1.0,0.14,2,3,123,0.2198640115413772,0.8792974579992006,results/twoarm/GA_results_H_30_obs_3_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,results/twoarm/GA_assignment_H_30_obs_3_id_5_P100_G200_C1p00_M0p14_T2_E3.csv,twoarm,5,covariate_matrices_twoarm/H_30_obs_3_id_5.csv,moments_matrices/M_l_2_0.csv
